entry id,chain,knotted
3v5s,A,1
3v5s,A,1
3v5u,A,1
3v5u,A,1
4k1c,A,1
4k1c,A,1
4k1c,B,1
4k1c,B,1
4kjr,A,1
4kjr,A,1
4kjr,B,1
4kjr,B,1
4kjs,A,0
4kjs,A,0
4kjs,B,0
4kjs,B,0
4kpp,A,1
4kpp,A,1
4kpp,B,1
4kpp,B,1
5hwx,A,1
5hwx,A,1
5hwy,A,1
5hwy,A,1
5hxc,A,1
5hxc,A,1
5hxe,A,1
5hxe,A,1
5hxh,A,1
5hxh,A,1
5hxh,B,1
5hxh,B,1
5hxr,A,1
5hxr,A,1
5hxs,A,1
5hxs,A,1
5hya,A,1
5hya,A,1
5jdf,A,1
5jdf,A,1
5jdg,A,1
5jdg,A,1
5jdh,A,1
5jdh,A,1
5jdl,A,1
5jdl,A,1
5jdm,A,1
5jdm,A,1
5jdn,A,1
5jdn,A,1
5jdq,A,1
5jdq,A,1
